ID,Material,Spec,Form,Condition,Thickness,Basis,Ftu_L,Ftu_LT,Ftu_ST,Fty_L,Fty_LT,Fty_ST,Fcy_L,Fcy_LT,Fcy_ST,Fsu LS,Fsu TS,Fsu SL,Fbru(ed=1.5)_L,Fbru(ed=1.5)_LT,Fbru(ed=1.5)_ST,Fbru(ed=2.0)_L,Fbru(ed=2.0)_LT,Fbru(ed=2.0)_ST,Fbry(ed=1.5)_L,Fbry(ed=1.5)_LT,Fbry(ed=1.5)_ST,Fbry(ed=2.0)_L,Fbry(ed=2.0)_LT,Fbry(ed=2.0)_ST,e_L,e_LT,e_ST,E_L Pri,E_LT Pri,E_ST Pri,E_L Sec,E_LT Sec,E_ST Sec,Ec_L Pri,Ec_LT Pri,Ec_ST Pri,Ec_L,Ec_LT,Ec_ST,G,v,density,Ref,Table,Material Desc,Form Desc
1,AISI 1025,"AMS5046, Type 2, and MIL-S-7952, 1025","Sheet, strip, plate",Annealed,,S,55,55, ,36,36, ,36,36, ,35, , , , , ,90, , , , , , , , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.2.1.0 b),Carbon Steel,AISI 1025 Annealed 
2,AISI 1025,"AMS 5075, AMS 5077, Mil-T-5066",Tubing,Normalized,,S,55,55, ,36,36, ,36,36, ,35, , , , , ,90, , , , , , , , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.2.1.0 b),Carbon Steel,AISI 1025 Normalized 
3,AISI 1025,"MIL-S-7097, Comp 3",Bar,All,,S,55,55,55,36,36,36,36,36,36,35, , , , , ,90, , , , , , , , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.2.1.0 b),Carbon Steel,AISI 1025 All 
4,"AISI 4130,4135,8630,8735", ,"Sheet, strip, plate, tubing",N,<=0.187,S,95,95,95,75,75,75,75,75,75,57, , , , , ,200, , , , , ,129, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130,4135,8630,8735 N <=0.187"
5,"AISI 4130,4135,8630,8735", ,"Sheet, strip, plate, tubing",N,>0.187,S,90,90,90,70,70,70,70,70,70,54, , , , , ,190, , , , , ,120, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130,4135,8630,8735 N >0.187"
6,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M",,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,125,125,125,100,100,100,109,109,109,75, , ,194, , ,251, , ,146, , ,175, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
7,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M",,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,140,140,140,120,120,120,131,131,131,84, , ,209, , ,273, , ,173, , ,203, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
8,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M",,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,150,150,150,132,132,132,145,145,145,90, , ,219, , ,287, , ,187, , ,218, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
9,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M",,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,160,160,160,142,142,142,154,154,154,96, , ,230, , ,300, , ,202, , ,231, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
10,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M",,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,180,180,180,163,163,163,173,173,173,108, , ,250, , ,326, , ,230, , ,253, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
11,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M",,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,200,200,200,176,176,176,181,181,181,120, , ,272, , ,355, , ,255, , ,280, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
12,HyTuf 4330V,,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,220,220,220,185,185,185,193,193,193,132, , ,297, , ,385, , ,267, , ,294, , ,10,5,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 f),Low Alloy Steel,"HyTuf 4330V Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
13,D6AC 4335V,,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,220,220,220,190,190,190,198,198,198,132, , ,297, , ,385, , ,274, , ,302, , , , ,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 f),Low Alloy Steel,"D6AC 4335V Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
14,AISI 4340,,"Bar, forging, tubing","Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,260,260,260,217,217,217,235,235,235,156, , ,347, , ,440, , ,312, , ,346, , ,10, ,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 f),Low Alloy Steel,"AISI 4340 Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
15,0.40C 300M,,"Bar, forging, tubing","Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,270,270,270,220,220,220,236,236,236,162, , ,414, , ,506, , ,344, , ,379, , ,8, ,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 f),Low Alloy Steel,"0.40C 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
16,0.42C 300M,,"Bar, forging, tubing","Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,280,280,280,230,230,230,247,247,247,168, , ,430, , ,525, , ,360, , ,396, , ,7, ,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 f),Low Alloy Steel,"0.42C 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
17,5 Cr-Mo-V Steel Bar and Forging,"AMS6487, 6488","Bars, forging","Quenched, tempered",<25sqin,S, ,240, , ,200, , ,220, ,144, , , , , ,400, , , , , ,315, , ,9,,,30, , , , , ,30, , ,, , ,11,0.36,0.281,Mil Hdbk5-G,2.4.1.0 c),Intermediate Alloy Steel,"5 Cr-Mo-V Steel Bar and Forging Quenched, tempered <25sqin"
18,5 Cr-Mo-V Steel Bar and Forging,"AMS6487, 6488","Bars, forging","Quenched, tempered",<25sqin,S,260,260, ,215,215, , ,234, ,156, , , , , ,435, , , , , ,333, , ,8,,,30, , , , , ,30, , ,, , ,11,0.36,0.281,Mil Hdbk5-G,2.4.1.0 c),Intermediate Alloy Steel,"5 Cr-Mo-V Steel Bar and Forging Quenched, tempered <25sqin"
19,5 Cr-Mo-V Steel Bar and Forging,"AMS6487, 6488","Bars, forging","Quenched, tempered",<25sqin,S, ,280, , ,240, , ,260, ,168, , , , , ,465, , , , , ,365, , ,7,,,30, , , , , ,30, , ,, , ,11,0.36,0.281,Mil Hdbk5-G,2.4.1.0 c),Intermediate Alloy Steel,"5 Cr-Mo-V Steel Bar and Forging Quenched, tempered <25sqin"
20,"5 Cr-Mo-V Steel Sheet, Strip, Plate",AMS 6437,"Sheet, strip, plate","Quenched, tempered",">0.050""",S, ,240, , ,200, , ,220, ,144, , , , , ,400, , , , , ,315, , ,,6,,30, , , , , ,30, , ,, , ,11,0.36,0.281,Mil Hdbk5-G,2.4.1.0 d),Intermediate Alloy Steel,"5 Cr-Mo-V Steel Sheet, Strip, Plate Quenched, tempered >0.050"""
21,"5 Cr-Mo-V Steel Sheet, Strip, Plate",AMS 6437,"Sheet, strip, plate","Quenched, tempered",">0.050""",S, ,260, , ,220, , ,240, ,156, , , , , ,435, , , , , ,340, , ,,5,,30, , , , , ,30, , ,, , ,11,0.36,0.281,Mil Hdbk5-G,2.4.1.0 d),Intermediate Alloy Steel,"5 Cr-Mo-V Steel Sheet, Strip, Plate Quenched, tempered >0.050"""
22,"5 Cr-Mo-V Steel Sheet, Strip, Plate",AMS 6437,"Sheet, strip, plate","Quenched, tempered",">0.050""",S, ,280, , ,240, , ,260, ,168, , , , , ,465, , , , , ,365, , ,,4,,30, , , , , ,30, , ,, , ,11,0.36,0.281,Mil Hdbk5-G,2.4.1.0 d),Intermediate Alloy Steel,"5 Cr-Mo-V Steel Sheet, Strip, Plate Quenched, tempered >0.050"""
23,9Ni-4Co-.20C Steel Plate,AMS 6523,Plate,"Quenched, tempered","<0.25""",S,186,190, ,173,175, ,188,187, ,114, , , , , , , , , , , , , , ,,5,,28.8, , , , , ,28.8, , ,, , ,11.1,0.3,0.283,Mil Hdbk5-G,2.4.2.0 b),Intermediate Alloy Steel,"9Ni-4Co-.20C Steel Plate Quenched, tempered <0.25"""
24,9Ni-4Co-.20C Steel Plate,AMS 6523,Plate,"Quenched, tempered",">=.25""",S,186,190, ,173,175, ,188,187, ,114, , , , , , , , , , , , , , ,,10,,28.8, , , , , ,28.8, , ,, , ,11.1,0.3,0.283,Mil Hdbk5-G,2.4.2.0 b),Intermediate Alloy Steel,"9Ni-4Co-.20C Steel Plate Quenched, tempered >=.25"""
25,9Ni-4Co-.30C Steel Plate,AMS 6524,"Sheet, strip, plate","Quenched, tempered","<=.249""",S, ,220, , ,185, , , , , , , , , , , , , , , , , , , ,,6,,28.5, , , , , ,29.8, , ,, , , , ,0.28,Mil Hdbk5-G,2.4.3.0 b),Intermediate Alloy Steel,"9Ni-4Co-.30C Steel Plate Quenched, tempered <=.249"""
26,9Ni-4Co-.30C Steel Plate,AMS 6524,"Sheet, strip, plate","Quenched, tempered",">=0.25""",S, ,220, , ,190, , ,209, ,137, , ,346, , ,440, , ,291, , ,322, , ,,10,,28.5, , , , , ,29.8, , ,, , , , ,0.28,Mil Hdbk5-G,2.4.3.0 b),Intermediate Alloy Steel,"9Ni-4Co-.30C Steel Plate Quenched, tempered >=0.25"""
27,9Ni-4Co-.30C Steel Plate,AMS 6526,"Bar, forging, tubing","Quenched, tempered","<=4.00""",S,220, , ,190, , ,209, ,137, , , ,346, , ,440, , ,291, , ,322, , ,10,,,28.5, , , , , ,29.8, , ,, , , , ,0.28,Mil Hdbk5-G,2.4.3.0 b),Intermediate Alloy Steel,"9Ni-4Co-.30C Steel Plate Quenched, tempered <=4.00"""
28,18 Nickel 250 Maraging Steel,AMS6520,Sheet,Maraged at 900F,"<=0.187""",S,247,255, ,238,245, ,221,225, ,148, , ,327, , ,444, , ,278, , ,353, , ,,,,26.5, , , , , ,28.2, , ,, , , ,0.31,0.286,Mil Hdbk5-G,2.5.1.0 b),High Alloy Steel,"18 Nickel 250 Maraging Steel Maraged at 900F <=0.187"""
29,18 Nickel 250 Maraging Steel,AMS6520,Plate,Maraged at 900F,.187-.250,S,252,255, ,242,245, , ,255, ,155, , ,352, , ,448, , ,324, , ,354, , ,,,,26.5, , , , , ,28.2, , ,, , , ,0.31,0.286,Mil Hdbk5-G,2.5.1.0 b),High Alloy Steel,18 Nickel 250 Maraging Steel Maraged at 900F .187-.250
30,18 Nickel 250 Maraging Steel,AMS6520,Plate,Maraged at 900F,>.25,S, ,255, , ,245, , , , , , , , , , , , , , , , , , , ,,,,26.5, , , , , ,28.2, , ,, , , ,0.31,0.286,Mil Hdbk5-G,2.5.1.0 b),High Alloy Steel,18 Nickel 250 Maraging Steel Maraged at 900F >.25
31,18 Nickel 250 Maraging Steel,AMS6512,Bar,Maraged at 900F,<4.00,S,255,255, ,250,250, ,260, , ,148, , , , , , , , , , , , , , ,6,4,,26.5, , , , , ,28.2, , ,, , , ,0.31,0.286,Mil Hdbk5-G,2.5.1.0 b),High Alloy Steel,18 Nickel 250 Maraging Steel Maraged at 900F <4.00
32,18 Nickel 250 Maraging Steel,AMS6512,Bar,Maraged at 900F,4.00-10.00,S,245,245, ,240,240, , , , , , , , , , , , , , , , , , , ,5,3,,26.5, , , , , ,28.2, , ,, , , ,0.31,0.286,Mil Hdbk5-G,2.5.1.0 b),High Alloy Steel,18 Nickel 250 Maraging Steel Maraged at 900F 4.00-10.00
33,18 Nickel 250 Maraging Steel,AMS6521,Sheet,Maraged at 900F,"<=0.187""",S,271,280, ,262,270, ,244,248, ,163, , ,359, , ,487, , ,306, , ,389, , ,,,,26.5, , , , , ,28.6, , ,, , , ,0.31,0.286,Mil Hdbk5-G,2.5.1.0 c),High Alloy Steel,"18 Nickel 250 Maraging Steel Maraged at 900F <=0.187"""
34,18 Nickel 250 Maraging Steel,AMS6521,Plate,Maraged at 900F,.187-.250,S,276,280, ,267,270, , ,281, ,170, , ,386, , ,492, , ,357, , ,390, , ,,,,26.5, , , , , ,28.6, , ,, , , ,0.31,0.286,Mil Hdbk5-G,2.5.1.0 c),High Alloy Steel,18 Nickel 250 Maraging Steel Maraged at 900F .187-.250
35,18 Nickel 250 Maraging Steel,AMS6521,Plate,Maraged at 900F,>.25,S, ,280, , ,270, , , , , , , , , , , , , , , , , , , ,,,,26.5, , , , , ,28.6, , ,, , , ,0.31,0.286,Mil Hdbk5-G,2.5.1.0 c),High Alloy Steel,18 Nickel 250 Maraging Steel Maraged at 900F >.25
36,18 Nickel 250 Maraging Steel,AMS6514,Bar,Maraged at 900F,<4.00,S,280,280, ,270,270, ,281, , ,162, , , , , , , , , , , , , , ,5,4,,26.5, , , , , ,28.6, , ,, , , ,0.31,0.286,Mil Hdbk5-G,2.5.1.0 c),High Alloy Steel,18 Nickel 250 Maraging Steel Maraged at 900F <4.00
37,18 Nickel 250 Maraging Steel,AMS6514,Bar,Maraged at 900F,4.00-10.00,S,275,275, ,270,270, , , , , , , , , , , , , , , , , , , ,4,2,,26.5, , , , , ,28.6, , ,, , , ,0.31,0.286,Mil Hdbk5-G,2.5.1.0 c),High Alloy Steel,18 Nickel 250 Maraging Steel Maraged at 900F 4.00-10.00
38,AF1410,AMS6527,Bar,See Mil Hdbk 5G,"<=4.25""",S,235,235,235,215,215,215,223, ,225,141, , ,334, , ,435, , ,269, , ,300, , ,12,12,,29.4, , , , , ,30.9, , ,, , , ,0.28,0.283,Mil Hdbk5-G,2.5.2.0 b),High Alloy Steel,"AF1410 See Mil Hdbk 5G <=4.25"""
39,AerMet 100,AMS6532,Bar and Forging,Sol. HT and aged,"<=10""",S,280,280,280,235,235,235,262, ,263,175, , ,433, , ,571, , ,361, , ,411, , ,10,8,,28, , , , , ,28.1, , ,, , , ,0.29,0.285,Mil Hdbk5-G,2.5.3.0 b),High Alloy Steel,"AerMet 100 Sol. HT and aged <=10"""
40,AerMet 100,AMS 6478,Bar and Forging,Sol. HT and aged,"<=10""",S,290,290,290,245,245,245,281, ,279,182, , ,448, , ,581, , ,378, , ,442, , ,10,8,,28, , , , , ,28.1, , ,, , , ,0.29,0.285,Mil Hdbk5-G,2.5.3.0 b),High Alloy Steel,"AerMet 100 Sol. HT and aged <=10"""
41,AM-350,AMS 5548,"Sheet, Strip",SCT 850,"<=.187""",S,183,185, ,147,150, ,163, , ,121, , , , , ,373, , , , , ,252, , ,,10,,29, , , , , ,30, , ,, , ,11,0.32,0.282,Mil Hdbk5-G,2.6.1.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),"AM-350 SCT 850 <=.187"""
42,AM-355,AMS 5547,"Sheet, Strip",SCT 850,".005-.187""",S,188,190, ,162,165, ,180, , ,124, , , , , ,383, , , , , ,278, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.282,Mil Hdbk5-G,2.6.2.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),"AM-355 SCT 850 .005-.187"""
43,AM-355,AMS 5547,"Sheet, Strip",SCT 1000,".010-.187""",S, ,165, , ,140, , , , , , , , , , , , , , , , , , , ,,10,,29, , , , , ,29, , ,, , ,11,0.32,0.282,Mil Hdbk5-G,2.6.2.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),"AM-355 SCT 1000 .010-.187"""
44,AM-355,AMS 5547,"Sheet, Strip",SCT 850,,S,200, , ,165, , , , , , , , , , , , , , , , , , , , ,10,,,29, , , , , ,29, , ,, , ,11,0.32,0.282,Mil Hdbk5-G,2.6.2.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),AM-355 SCT 850 
45,AM-355,AMS 5547,"Sheet, Strip",SCT 1000,,S,170, , ,155, , , , , , , , , , , , , , , , , , , , ,12,,,29, , , , , ,29, , ,, , ,11,0.32,0.282,Mil Hdbk5-G,2.6.2.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),AM-355 SCT 1000 
46,AM-355,AMS 5549,Plate,SCT 850,<.375,S,188,190, ,162,165, ,180, , ,124, , , , , ,383, , , , , ,278, , ,,10,,29, , , , , ,29, , ,, , ,11,0.32,0.282,Mil Hdbk5-G,2.6.2.0 d),Stainless Steel (Precipitation and Transformation Hardening Steel),AM-355 SCT 850 <.375
47,AM-355,AMS 5549,Plate,SCT 850,.375-1.000,S, ,190, , ,150, , , , , , , , , , , , , , , , , , , ,,10,,29, , , , , ,29, , ,, , ,11,0.32,0.282,Mil Hdbk5-G,2.6.2.0 d),Stainless Steel (Precipitation and Transformation Hardening Steel),AM-355 SCT 850 .375-1.000
48,AM-355,AMS 5549,Plate,SCT 850,>1.000,S, ,190, , , , , , , , , , , , , , , , , , , , , , ,,10,,29, , , , , ,29, , ,, , ,11,0.32,0.282,Mil Hdbk5-G,2.6.2.0 d),Stainless Steel (Precipitation and Transformation Hardening Steel),AM-355 SCT 850 >1.000
49,AM-355,AMS 5549,Plate,SCT 1000,<.187,S, ,165, , ,140, , , , , , , , , , , , , , , , , , , ,,12,,29, , , , , ,29, , ,, , ,11,0.32,0.282,Mil Hdbk5-G,2.6.2.0 d),Stainless Steel (Precipitation and Transformation Hardening Steel),AM-355 SCT 1000 <.187
50,Custom 450,AMS 5763,Bar,Sol HT,<=8.000,S,125, , ,95, , , , , , , , , , , , , , , , , , , , ,10,,,28, , , , , , , , ,, , , , ,0.28,Mil Hdbk5-G,2.6.3.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 450 Sol HT <=8.000
51,Custom 450,AMS 5763,Bar,H900,<=8.000,S,180, ,179,170, ,168,175, ,173,114, , ,298, , ,381, , ,265, , ,326, , ,10,,,29, , , , , ,31, , ,, , ,11.2,0.29,0.28,Mil Hdbk5-G,2.6.3.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 450 H900 <=8.000
52,Custom 450,AMS 5763,Bar,H1050,<=8.000,S,145, ,144,135, ,133,143, ,141,93, , ,239, , ,307, , ,204, , ,257, , ,12,,,29, , , , , ,31, , ,, , ,11.2,0.29,0.28,Mil Hdbk5-G,2.6.3.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 450 H1050 <=8.000
53,Custom 450,AMS 5773,Bar,Sol HT,<=12.00,S,125, , ,95, , , , , , , , , , , , , , , , , , , , ,10,,,28, , , , , , , , ,, , , , ,0.28,Mil Hdbk5-G,2.6.3.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 450 Sol HT <=12.00
54,Custom 450,AMS 5773,Bar,H900,<=12.00,S,180,180, ,170,170, ,175,173, ,114, , ,298, , ,381, , ,265, , ,326, , ,10,6,,29, , , , , ,31, , ,, , ,11.2,0.29,0.28,Mil Hdbk5-G,2.6.3.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 450 H900 <=12.00
55,Custom 450,AMS 5773,Bar,H950,<=12.00,S,170,170, ,160,160, , , , , , , , , , , , , , , , , , , ,10,7,,29, , , , , ,31, , ,, , ,11.2,0.29,0.28,Mil Hdbk5-G,2.6.3.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 450 H950 <=12.00
56,Custom 450,AMS 5773,Bar,H1000,<=12.00,S,160,160, ,150,150, , , , , , , , , , , , , , , , , , , ,12,8,,29, , , , , ,31, , ,, , ,11.2,0.29,0.28,Mil Hdbk5-G,2.6.3.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 450 H1000 <=12.00
57,Custom 450,AMS 5773,Bar,H1050,<=12.00,S,145,145, ,135,135, ,143,141, ,93, , ,239, , ,307, , ,204, , ,257, , ,12,9,,29, , , , , ,31, , ,, , ,11.2,0.29,0.28,Mil Hdbk5-G,2.6.3.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 450 H1050 <=12.00
58,Custom 450,AMS 5773,Bar,H1100,<=12.00,S,130,130, ,105,105, , , , , , , , , , , , , , , , , , , ,16,11,,29, , , , , ,31, , ,, , ,11.2,0.29,0.28,Mil Hdbk5-G,2.6.3.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 450 H1100 <=12.00
59,Custom 450,AMS 5773,Bar,H1150,<=12.00,S,125,125, ,75,75, , , , , , , , , , , , , , , , , , , ,18,12,,29, , , , , ,31, , ,, , ,11.2,0.29,0.28,Mil Hdbk5-G,2.6.3.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 450 H1150 <=12.00
60,Custom 455,AMS 5578,Tube (Welded),H950,".020-.062""",S,220, , ,205, , , , , , , , , , , , , , , , , , , , ,,,,28.5, , , , , ,30, , ,, , ,11.3,0.27,0.28,Mil Hdbk5-G,2.6.4.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),"Custom 455 H950 .020-.062"""
61,Custom 455,AMS 5578,Tube (Welded),H950,>.062,S,220, , ,205, , , , , , , , , , , , , , , , , , , , ,,,,28.5, , , , , ,30, , ,, , ,11.3,0.27,0.28,Mil Hdbk5-G,2.6.4.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 455 H950 >.062
62,Custom 455,AMS 5617,Bar,H950,<=4.000,S,225,225,225,210,210,210,219,219,219,133, , ,355, , ,450, , ,311, , ,366, , ,10,5,,28.5, , , , , ,30, , ,, , ,11.3,0.27,0.28,Mil Hdbk5-G,2.6.4.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 455 H950 <=4.000
63,Custom 455,AMS 5617,Bar,H950,4.001-6.000,S,220,220,220,205,205,205,214,214,214,130, , ,347, , ,440, , ,303, , ,358, , ,10,5,,28.5, , , , , ,30, , ,, , ,11.3,0.27,0.28,Mil Hdbk5-G,2.6.4.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 455 H950 4.001-6.000
64,Custom 455,AMS 5617,Bar,H1000,<=8.000,S,200, , ,185, , ,193,193,193,124, , ,324, , ,409, , ,285, , ,343, , ,10,,,28.9, , , , , ,30, , ,, , ,11.5,0.26,0.28,Mil Hdbk5-G,2.6.4.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),Custom 455 H1000 <=8.000
65,PH13-8Mo,AMS 5629,"Round,hex,sq, flat bar",H950,<9.0,A,217,217, ,198,198, , , , , , , , , , , , , , , , , , , ,10,10,,28.3, , , , , ,29.4, , ,, , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H950 <9.0
66,PH13-8Mo,AMS 5629,"Round,hex,sq, flat bar",H950,<9.0,B,221,221, ,205,205, , , , , , , , , , , , , , , , , , , ,,,,28.3,28.3, , , , ,29.4,29.4, , , , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H950 <9.0
67,PH13-8Mo,AMS 5629,"Round,hex,sq, flat bar",H1000,<8.0,A,201,201, ,190,190, ,200,200, ,117, , ,302, , ,402, , ,263, , ,338, , ,10,10,,28.3, , , , , ,29.4, , ,, , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H1000 <8.0
68,PH13-8Mo,AMS 5629,"Round,hex,sq, flat bar",H1000,<8.0,B,208,208, ,200,200, ,211,211, ,122, , ,313, , ,416, , ,277, , ,356, , ,,,,28.3,28.3, , , , ,29.4,29.4, , , , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H1000 <8.0
69,PH13-8Mo,AMS 5629,"Round,hex,sq, flat bar",H1025,<=12.0,S,185,185, ,175,175, , , , , , , , , , , , , , , , , , , ,11,11,,28.3, , , , , ,29.4, , ,, , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H1025 <=12.0
70,PH13-8Mo,AMS 5629,"Round,hex,sq, flat bar",H1050,<=12.0,S,175,175, ,165,165, , , , , , , , , , , , , , , , , , , ,12,12,,28.3, , , , , ,29.4, , ,, , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H1050 <=12.0
71,PH13-8Mo,AMS 5629,"Round,hex,sq, flat bar",H1100,<=12.0,S,150,150, ,135,135, , , , , , , , , , , , , , , , , , , ,14,14,,28.3, , , , , ,29.4, , ,, , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H1100 <=12.0
72,PH13-8Mo,AMS 5629,"Round,hex,sq, flat bar",H1150,<=12.0,S,135,135, ,90,90, , , , , , , , , , , , , , , , , , , ,14,14,,28.3, , , , , ,29.4, , ,, , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H1150 <=12.0
73,PH13-8Mo,AMS 5629,"Forging, Fl Weld ring, extr",H950,<=12.0,S,220,220, ,205,205, , , , , , , , , , , , , , , , , , , ,10,10,,28.3, , , , , ,29.4, , ,, , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H950 <=12.0
